label	name	affiliation
adapt	Henry Elder, Sebastian Gehrmann, Alexander O'Connor, Qun Liu	AdaptCentre
chen	Shuang Chen	Harbin Institute of Technology
dangnt	Dang Tuan Nguyen, Trung Tran	University of Information Technology VNU-HCM
forge	Simon Mille, Stamatia Dasiopoulou	Pompeu Fabra University
gong	Heng Gong	Harbin Institute of Technology
harv	Sebastian Gerhmann, Falcon Z. Dai, Henry Elder, Alexander M. Rush	HarvardNLP
nle	Shubham Agarwal, Marc Dymetman, Éric Gaussier	NAVER Labs Europe
sheff	Mingjie Chen, Gerasimos Lampouras, Andreas Vlachos	Sheffield NLP
slug	Juraj Juraska, Panagiotis Karagiannis, Kevin K. Bowden, Marilyn A. Walker	UC Santa Cruz (Slug2Slug)
tgen	Ondrej Dusek, Jekaterina Novikova, Verena Rieser	Heriot-Watt University (baseline)
tnt	Shereen Oraby, Lena Reed, Shubhangi Tandon, Sharath T.S., Stephanie Lukin, Marilyn Walker	UC Santa Cruz (TNT-NLG)
tr	Elnaz Davoodi, Charese Smiley, Dezhao Song, Frank Schilder	Thomson Reuters NLP
tuda	Yevgeniy Puzikov, Iryna Gurevych	UKP TU Darmstadt
zhang	Biao Zhang	Xiamen University
zhaw	Jan Deriu, Mark Cieliebak	Zürcher Hochschule für Angewandte Wissenschaften
